"colonna1","colonna2"
"How cunning is the puppet-master? Cestode-infected fish appear generally fearless","How host diversity and abundance affect parasite infections: Results from a whole-ecosystem manipulation of bird activity"
"How can immunopathology shape the evolution of parasite virulence?","How do noncompetent hosts cause dilution of parasitism? Testing hypotheses for native and invasive mosquitoes"
"How and why Toxoplasma makes us crazy","How Diverse Is the Genus Wolbachia? Multiple-Gene Sequencing Reveals a Putatively New Wolbachia Supergroup Recovered from Spider Mites (Acari: Tetranychidae)"
"Host-seeking behaviors of mosquitoes experimentally infected with sympatric field isolates of the human malaria parasite Plasmodium falciparum: no evidence for host manipulation","How cunning is the puppet-master? Cestode-infected fish appear generally fearless"
"Hosts manipulated by one parasite incur additional costs from infection by another parasite","How can immunopathology shape the evolution of parasite virulence?"
"Host-parasite molecular cross-talk during the manipulative process of a host by its parasite","How and why Toxoplasma makes us crazy"
"Host-Parasite Interactions in Human Malaria: Clinical Implications of Basic Research","Host-seeking behaviors of mosquitoes experimentally infected with sympatric field isolates of the human malaria parasite Plasmodium falciparum: no evidence for host manipulation"
"Host-parasite interactions and life-history evolution","Hosts manipulated by one parasite incur additional costs from infection by another parasite"
"Host-microbiome coevolution can promote cooperation in a rock-paper-scissors dynamics","Host-parasite molecular cross-talk during the manipulative process of a host by its parasite"
"Host-Manipulation by Trophically Transmitted Parasites: The Switcher-Paradigm","Host-Parasite Interactions in Human Malaria: Clinical Implications of Basic Research"
"Host-manipulation by parasites with complex life cycles: adaptive or not?","Host-parasite interactions and life-history evolution"
"Host-directed therapies for malaria: possible applications and lessons from other indications","Host-microbiome coevolution can promote cooperation in a rock-paper-scissors dynamics"
"Host-derived glucose and its transporter in the obligate intracellular pathogen Toxoplasma gondii are dispensable by glutaminolysis","Host-Manipulation by Trophically Transmitted Parasites: The Switcher-Paradigm"
"Host-dependent vitality of juvenile freshwater mussels: Implications for breeding programs and host evaluation","Host-manipulation by parasites with complex life cycles: adaptive or not?"
"HOST TISSUE DESTRUCTION BY ENTAMOEBA-HISTOLYTICA - MOLECULES MEDIATING ADHESION, CYTOLYSIS, AND PROTEOLYSIS","Host-directed therapies for malaria: possible applications and lessons from other indications"
"Host stress hormones alter vector feeding preferences, success, and productivity","Host-derived glucose and its transporter in the obligate intracellular pathogen Toxoplasma gondii are dispensable by glutaminolysis"
"Host sharing and host manipulation by larval helminths in shore crabs: cooperation or conflict?","Host-dependent vitality of juvenile freshwater mussels: Implications for breeding programs and host evaluation"
"Host propagation permits extreme local adaptation in a social parasite of ants","HOST TISSUE DESTRUCTION BY ENTAMOEBA-HISTOLYTICA - MOLECULES MEDIATING ADHESION, CYTOLYSIS, AND PROTEOLYSIS"
"Host performance as a target of manipulation by parasites: a meta-analysis","Host stress hormones alter vector feeding preferences, success, and productivity"
"HOST PERFORMANCE AS A TARGET OF MANIPULATION BY PARASITES: A META-ANALYSIS","Host sharing and host manipulation by larval helminths in shore crabs: cooperation or conflict?"
"Host nest site choice depends on risk of cuckoo parasitism in magpie hosts","Host propagation permits extreme local adaptation in a social parasite of ants"
"Host mortality and variability in epizootics of Schistocephalus solidus infecting the threespine stickleback, Gasterosteus aculeatus","HOST PERFORMANCE AS A TARGET OF MANIPULATION BY PARASITES: A META-ANALYSIS"
"Host Manipulation, Gene Editing, and Non-Traditional Model Organisms: A New Frontier for Behavioral Research?","Host performance as a target of manipulation by parasites: a meta-analysis"
"Host manipulation via begging call structure in the brood-parasitic shiny cowbird","Host parasite communications-Messages from helminths for the immune system Parasite communication and cell-cell interactions"
"Host manipulation revisited: no evidence for a causal link between altered photophobia and increased trophic transmission of amphipods infected with acanthocephalans","Host nest site choice depends on risk of cuckoo parasitism in magpie hosts"
"Host manipulation of bumble bee queens by Sphaerularia nematodes indirectly affects foraging of non-host workers","Host mortality and variability in epizootics of Schistocephalus solidus infecting the threespine stickleback, Gasterosteus aculeatus"
"Host manipulation of a freshwater crustacean (Gammarus roeseli) by an acanthocephalan parasite (Polymorphus minutus) in a biological invasion context","Host Manipulation, Gene Editing, and Non-Traditional Model Organisms: A New Frontier for Behavioral Research?"
"Host manipulation in the face of environmental changes: Ecological consequences","Host manipulation via begging call structure in the brood-parasitic shiny cowbird"
"Host manipulation by Ligula intestinalis:: accident or adaptation?","Host manipulation revisited: no evidence for a causal link between altered photophobia and increased trophic transmission of amphipods infected with acanthocephalans"
"Host manipulation by Ligula intestinalis:: a cause or consequence of parasite aggregation?","Host manipulation of bumble bee queens by Sphaerularia nematodes indirectly affects foraging of non-host workers"
"Host manipulation by parasites: From individual to collective behavior","Host manipulation of a freshwater crustacean (Gammarus roeseli) by an acanthocephalan parasite (Polymorphus minutus) in a biological invasion context"
"Host Manipulation by Parasites: Cases, Patterns, and Remaining Doubts","Host manipulation in the face of environmental changes: Ecological consequences"
"Host Manipulation by Parasites: A Look Back Before Moving Forward","Host manipulation by parasites: From individual to collective behavior"
"Host manipulation by parasites through the lens of Niche Construction Theory","Host Manipulation by Parasites: Cases, Patterns, and Remaining Doubts"
"Host manipulation by parasites in the world of dead-end predators:: adaptation to enhance transmission?","Host manipulation by parasites: a multidimensional phenomenon"
"Host Manipulation by Parasites Foreword","Host Manipulation by Parasites: A Look Back Before Moving Forward"
"Host manipulation by parasites as a cryptic driver of energy flow through food webs","Host manipulation by parasites through the lens of Niche Construction Theory"
"Host manipulation by parasites and risk of non-host predation:: is manipulation costly in an eye fluke-fish interaction?","Host manipulation by parasites in the world of dead-end predators:: adaptation to enhance transmission?"
"Host Manipulation by Parasites Afterword","Host Manipulation by Parasites Foreword"
"Host Manipulation by Parasites Afterword","Host manipulation by parasites as a cryptic driver of energy flow through food webs"
"Host Manipulation by Parasites Afterword","Host manipulation by parasites and risk of non-host predation:: is manipulation costly in an eye fluke-fish interaction?"
"Host Manipulation by Parasites Afterword","Host Manipulation by Parasites Afterword"
"Host Manipulation by Parasites Afterword","Host Manipulation by Parasites Afterword"
"Host Manipulation by Parasites Afterword","Host Manipulation by Parasites Afterword"
"Host Manipulation by Parasites Afterword","Host Manipulation by Parasites Afterword"
"Host Manipulation by Parasites Afterword","Host Manipulation by Parasites Afterword"
"Host Manipulation by Parasites Afterword","Host Manipulation by Parasites Afterword"
"Host Manipulation by Parasites Afterword","Host Manipulation by Parasites Afterword"
"Host Manipulation by Parasites Afterword","Host Manipulation by Parasites Afterword"
"Host Manipulation by Parasites","Host Manipulation by Parasites Afterword"
"Host manipulation by cancer cells: Expectations, facts, and therapeutic implications","Host Manipulation by Parasites Afterword"
"Host manipulation by an ichneumonid spider ectoparasitoid that takes advantage of preprogrammed web-building behaviour for its cocoon protection","Host Manipulation by Parasites Afterword"
"Host manipulation as a parasite transmission strategy when manipulation is exploited by non-host predators","Host Manipulation by Parasites"
"Host immune status determines sexuality in a parasitic nematode","Host manipulation by Ligula intestinalis:: accident or adaptation?"
"Host genetics in malaria: lessons from mouse studies","Host manipulation by Ligula intestinalis:: a cause or consequence of parasite aggregation?"
"Host fecundity reduction: a strategy for damage limitation?","Host manipulation by cancer cells: Expectations, facts, and therapeutic implications"
"Host defence versus intraspecific competition in the regulation of infrapopulations of the flea Xenopsylla conformis on its rodent host Meriones crassus","Host manipulation by an ichneumonid spider ectoparasitoid that takes advantage of preprogrammed web-building behaviour for its cocoon protection"
"Host control by SP? phage regulatory switch as potential manipulation strategy","Host manipulation as a parasite transmission strategy when manipulation is exploited by non-host predators"
"Host compatibility as a critical factor in management unit recognition: population-level differences in mussel-fish relationships","Host immune status determines sexuality in a parasitic nematode"
"Host behavioural manipulation of two orb-weaver spiders by parasitoid waspsle","Host genetics in malaria: lessons from mouse studies"
"Host behaviour alteration by its parasite: from brain gene expression to functional test","Host fecundity reduction: a strategy for damage limitation?"
"Host and parasite-derived IKK activities direct distinct temporal phases of NF-κB activation and target gene expression following Toxoplasma gondii infection","Host defence versus intraspecific competition in the regulation of infrapopulations of the flea Xenopsylla conformis on its rodent host Meriones crassus"
"Host and Parasite Populations After a Ten Year Flood: Manayunkia speciosa and Ceratonova (syn Ceratomyxa) shasta in the Klamath River","Host control by SP? phage regulatory switch as potential manipulation strategy"
"Host AMPK Is a Modulator of Plasmodium Liver Infection","Host compatibility as a critical factor in management unit recognition: population-level differences in mussel-fish relationships"
"Host adaptation in the anther smut fungus Ustilago violacea (Microbotryum violaceum): Infection success, spore production and alteration of floral traits on two host species and their F1-hybrid","Host cell manipulation by the human pathogen Toxoplasma gondii"
"Host parasite communications-Messages from helminths for the immune system Parasite communication and cell-cell interactions","Host behavioural manipulation of two orb-weaver spiders by parasitoid waspsle"
"Host manipulation by parasites: a multidimensional phenomenon","Host behaviour alteration by its parasite: from brain gene expression to functional test"
"Host cell manipulation by the human pathogen Toxoplasma gondii","Host and parasite-derived IKK activities direct distinct temporal phases of NF-κB activation and target gene expression following Toxoplasma gondii infection"
"Hormonal and behavioral changes induced by acute and chronic experimental infestation with Psoroptes cuniculi in the domestic rabbit Oryctolagus cuniculus","Host and Parasite Populations After a Ten Year Flood: Manayunkia speciosa and Ceratonova (syn Ceratomyxa) shasta in the Klamath River"
"Horizontal transmission and reproductive rates of hen fleas in great tit nests","Host AMPK Is a Modulator of Plasmodium Liver Infection"
"Hooking the scientific community on thorny-headed worms: interesting and exciting facts, knowledge gaps and perspectives for research directions on Acanthocephala","Host adaptation in the anther smut fungus Ustilago violacea (Microbotryum violaceum): Infection success, spore production and alteration of floral traits on two host species and their F1-hybrid"
"History and complexity in tick-host dynamics: discrepancies between 'real' and 'visible' tick populations","Hormonal and behavioral changes induced by acute and chronic experimental infestation with Psoroptes cuniculi in the domestic rabbit Oryctolagus cuniculus"
"Histopathological characterisation of retinal lesions associated to Diplostomum species (Platyhelminthes: Trematoda) infection in polymorphic Arctic charr Salvelinus alpinus","Horizontal transmission and reproductive rates of hen fleas in great tit nests"
"Hijacking time: How Ophiocordyceps fungi could be using ant host clocks to manipulate behavior","Hooking the scientific community on thorny-headed worms: interesting and exciting facts, knowledge gaps and perspectives for research directions on Acanthocephala"
"Hijacking of host cellular components as proviral factors by plant-infecting viruses","History and complexity in tick-host dynamics: discrepancies between 'real' and 'visible' tick populations"
"High-resolution analysis of baculovirus-induced host manipulation in the domestic silkworm, Bombyx mori","Histopathological characterisation of retinal lesions associated to Diplostomum species (Platyhelminthes: Trematoda) infection in polymorphic Arctic charr Salvelinus alpinus"
"High prevalence rates of Toxoplasma gondii in cat-hunted small mammals- Evidence for parasite induced behavioural manipulation in the natural environment?","Hijacking time: How Ophiocordyceps fungi could be using ant host clocks to manipulate behavior"
"High prevalence does not necessarily equal maintenance species: Avoiding biased claims of disease reservoirs when using surveillance data","Hijacking of host cellular components as proviral factors by plant-infecting viruses"
"High food quality increases infection of Gammarus pulex (Crustacea: Amphipoda) by the acanthocephalan parasite Pomphorhynchus laevis","High-resolution analysis of baculovirus-induced host manipulation in the domestic silkworm, Bombyx mori"
"High efficacy in vitro selection procedure for generating transgenic parasites of Plasmodium berghei using an antibiotic toxic to rodent hosts","High prevalence rates of Toxoplasma gondii in cat-hunted small mammals- Evidence for parasite induced behavioural manipulation in the natural environment?"
"Hidden suppression of sex ratio distortion suggests Red queen dynamics between Wolbachia and its dwarf spider host","High prevalence does not necessarily equal maintenance species: Avoiding biased claims of disease reservoirs when using surveillance data"
"Heteroxenous coccidia increase the predation risk of parasitized rodents","High food quality increases infection of Gammarus pulex (Crustacea: Amphipoda) by the acanthocephalan parasite Pomphorhynchus laevis"
"Heterotrimeric G-protein Signaling Is Critical to Pathogenic Processes in Entamoeba histolytica","High efficacy in vitro selection procedure for generating transgenic parasites of Plasmodium berghei using an antibiotic toxic to rodent hosts"
"Heterogeneous hosts: how variation in host size, behaviour and immunity affects parasite aggregation","Hidden suppression of sex ratio distortion suggests Red queen dynamics between Wolbachia and its dwarf spider host"
"Heterogeneity in the effect of different ixodid tick species on human natural killer cell activity","Heteroxenous coccidia increase the predation risk of parasitized rodents"
"Hessian fly (Mayetiola destructor) attack causes a dramatic shift in carbon and nitrogen metabolism in wheat","Heterotrimeric G-protein Signaling Is Critical to Pathogenic Processes in Entamoeba histolytica"
"Herpesviruses and the hidden links to Multiple Sclerosis neuropathology","Heterogeneous hosts: how variation in host size, behaviour and immunity affects parasite aggregation"
"Helminths, hosts, and their microbiota: new avenues for managing gastrointestinal helminthiases in ruminants","Heterogeneity in the effect of different ixodid tick species on human natural killer cell activity"
"Helminth Infection Alters Mood and Short-Term Memory as well as Levels of Neurotransmitters and Cytokines in the Mouse Hippocampus","Hessian fly (Mayetiola destructor) attack causes a dramatic shift in carbon and nitrogen metabolism in wheat"
"Helminth extracellular vesicles: Interactions with the host immune system","Herpesviruses and the hidden links to Multiple Sclerosis neuropathology"
"Harnessing Immune Evasion Strategy of Lymphatic Filariae: A Therapeutic Approach against Inflammatory and Infective Pathology","Helminths, hosts, and their microbiota: new avenues for managing gastrointestinal helminthiases in ruminants"
"Hairworm response to notonectid attacks","Helminth Infection Alters Mood and Short-Term Memory as well as Levels of Neurotransmitters and Cytokines in the Mouse Hippocampus"
"Haemosporidian infections and host behavioural variation: a case study on wild-caught nightingales (Luscinia megarhynchos)","Helminth extracellular vesicles: Interactions with the host immune system"
"Haematozoans, mites and body condition in the oceanic island lizard Gallotia atlantica (Peters and Doria, 1882) (Reptilia: Lacertidae)","Harnessing Immune Evasion Strategy of Lymphatic Filariae: A Therapeutic Approach against Inflammatory and Infective Pathology"
"Haematozoan infections in the Eurasian kestrel:: effects of fluctuating food supply and experimental manipulation of parental effort","Hairworm response to notonectid attacks"
"Habitat selection for parasite-free space by hosts of parasitic cowbirds","Haemosporidian infections and host behavioural variation: a case study on wild-caught nightingales (Luscinia megarhynchos)"
"Gut microbiota composition does not associate with toxoplasma infection in rats","Haematozoans, mites and body condition in the oceanic island lizard Gallotia atlantica (Peters and Doria, 1882) (Reptilia: Lacertidae)"
"Guanabenz Reverses a Key Behavioral Change Caused by Latent Toxoplasmosis in Mice by Reducing Neuroinflammation","Haematozoan infections in the Eurasian kestrel:: effects of fluctuating food supply and experimental manipulation of parental effort"
"Growth and Maintenance of Wolbachia in Insect Cell Lines","Habitat selection for parasite-free space by hosts of parasitic cowbirds"
"Grazer host density mediates the ability of parasites to protect foundational plants from overgrazing","Gut microbiota composition does not associate with toxoplasma infection in rats"
"Gimme shelter - the relative sensitivity of parasitic nematodes with direct and indirect life cycles to climate change","Guanabenz Reverses a Key Behavioral Change Caused by Latent Toxoplasmosis in Mice by Reducing Neuroinflammation"
"Getting to the root of a club-Understanding developmental manipulation by the clubroot pathogen","Growth and Maintenance of Wolbachia in Insect Cell Lines"
"Getting lost: the fungal hijacking of ant foraging behaviour in space and time","Grazer host density mediates the ability of parasites to protect foundational plants from overgrazing"
"Genomics and transcriptomics across the diversity of the Nematoda","Gimme shelter - the relative sensitivity of parasitic nematodes with direct and indirect life cycles to climate change"
"Genome-Wide Identification of Molecular Mimicry Candidates in Parasites","Getting to the root of a club-Understanding developmental manipulation by the clubroot pathogen"
"Genome Sequencing of the Behavior Manipulating Virus LbFV Reveals a Possible New Virus Family","Getting lost: the fungal hijacking of ant foraging behaviour in space and time"
"Genome and transcriptome analyses of Leishmania spp.: opening Pandora's box","Genomics and transcriptomics across the diversity of the Nematoda"
"Genetics-squared: combining host and pathogen genetics in the analysis of innate immunity and bacterial virulence","Genome-Wide Identification of Molecular Mimicry Candidates in Parasites"
"Genetics: modes of reproduction and genetic analysis","Genome Sequencing of the Behavior Manipulating Virus LbFV Reveals a Possible New Virus Family"
"Genetics, intensity-dependence, and host manipulation in the trematode Curtuteria australis: following the strategies of others?","Genome and transcriptome analyses of Leishmania spp.: opening Pandora's box"
"Genetic manipulation of Neospora caninum to express the bradyzoite-specific protein NcSAG4 in tachyzoites","Genetics-squared: combining host and pathogen genetics in the analysis of innate immunity and bacterial virulence"
"Genetic Manipulation of Leishmania donovani to Explore the Involvement of Argininosuccinate Synthase in Oxidative Stress Management (Retracted article. See vol. 17, 2023)","Genetics: modes of reproduction and genetic analysis"
"Genetic manipulation of cell line derived reticulocytes enables dissection of host malaria invasion requirements","Genetics, intensity-dependence, and host manipulation in the trematode Curtuteria australis: following the strategies of others?"
"Genetic manipulation of African trypanosomes as a tool to dissect the immunobiology of infection","Genetic Underpinnings of Host Manipulation by Ophiocordyceps as Revealed by Comparative Transcriptomics"
"Genetic manipulation allows in vivo tracking of the life cycle of the son-killer symbiont, Arsenophonus nasoniae, and reveals patterns of host invasion, tropism and pathology","Genetic structure in natural populations of flukes and snails:: a practical approach and review"
"Genetic Underpinnings of Host Manipulation by Ophiocordyceps as Revealed by Comparative Transcriptomics","Genetic Signature of Reproductive Manipulation in the Phylogeography of the Bat Fly, Trichobius major"
"Genetic structure in natural populations of flukes and snails:: a practical approach and review","Genetic manipulation of Neospora caninum to express the bradyzoite-specific protein NcSAG4 in tachyzoites"
"Genetic Signature of Reproductive Manipulation in the Phylogeography of the Bat Fly, Trichobius major","Genetic manipulation of cell line derived reticulocytes enables dissection of host malaria invasion requirements"
"Genetic Dissection of the Host Tropism of Human-Tropic Pathogens","Genetic manipulation of African trypanosomes as a tool to dissect the immunobiology of infection"
"Genetic conflicts over sex ratio: Mite-endosymbiont interactions","Genetic manipulation allows in vivo tracking of the life cycle of the son-killer symbiont, Arsenophonus nasoniae, and reveals patterns of host invasion, tropism and pathology"
"Genetic and biochemical analysis of development in Toxoplasma gondii","Genetic Dissection of the Host Tropism of Human-Tropic Pathogens"
"Generation of transgenic rodent malaria parasites by transfection of cell culture-derived merozoites","Genetic conflicts over sex ratio: Mite-endosymbiont interactions"
"Generation of red blood cells from stem cells: Achievements, opportunities and perspectives for malaria research","Genetic and biochemical analysis of development in Toxoplasma gondii"
"Generation of constitutive and inducible trans-sialylation dominant-negative phenotypes in Trypanosoma brucei and Trypanosoma cruzi","Generation of transgenic rodent malaria parasites by transfection of cell culture-derived merozoites"
"Generation and Characterization of the First Immortalized Alpaca Cell Line Suitable for Diagnostic and Immunization Studies","Generation of red blood cells from stem cells: Achievements, opportunities and perspectives for malaria research"
"Gene expression patterns underlying parasite-induced alterations in host behaviour and life history","Generation of constitutive and inducible trans-sialylation dominant-negative phenotypes in Trypanosoma brucei and Trypanosoma cruzi"
"Gene expression during zombie ant biting behavior reflects the complexity underlying fungal parasitic behavioral manipulation","Generation and Characterization of the First Immortalized Alpaca Cell Line Suitable for Diagnostic and Immunization Studies"
"Gene expression differences underlying genotype-by-genotype specificity in a host-parasite system","Gene expression patterns underlying parasite-induced alterations in host behaviour and life history"
"Gene Duplication and Gain in the Trematode Atriophallophorus winterbourni Contributes to Adaptation to Parasitism","Gene expression during zombie ant biting behavior reflects the complexity underlying fungal parasitic behavioral manipulation"
"Gene discovery and differential expression analysis of humoral immune response elements in female Culicoides sonorensis (Diptera: Ceratopogonidae)","Gene expression differences underlying genotype-by-genotype specificity in a host-parasite system"
"Gas exchange, delta C-13, and heterotrophy for Castilleja linariifolia and Orthocarpus tolmiei, facultative root hemiparasites on Artemisia tridentata","Gene Duplication and Gain in the Trematode Atriophallophorus winterbourni Contributes to Adaptation to Parasitism"
"Gametocytogenesis in malaria parasite: commitment, development and regulation","Gene discovery and differential expression analysis of humoral immune response elements in female Culicoides sonorensis (Diptera: Ceratopogonidae)"
"Gametocytemia and Attractiveness of Plasmodium falciparum-Infected Kenyan Children to Anopheles gambiae Mosquitoes","Gas exchange, delta C-13, and heterotrophy for Castilleja linariifolia and Orthocarpus tolmiei, facultative root hemiparasites on Artemisia tridentata"
"Gametocyte sex ratio of a malaria parasite: response to experimental manipulation of parasite clonal diversity","Gametocytogenesis in malaria parasite: commitment, development and regulation"
"Gametocyte sex ratio in single-clone infections of the malaria parasite Plasmodium mexicanum","Gametocytemia and Attractiveness of Plasmodium falciparum-Infected Kenyan Children to Anopheles gambiae Mosquitoes"
"G protein signaling in the parasite Entamoeba histolytica","Gametocyte sex ratio of a malaria parasite: response to experimental manipulation of parasite clonal diversity"
"Functional partnership between carbonic anhydrase and malic enzyme in promoting gluconeogenesis in Leishmania major","Gametocyte sex ratio in single-clone infections of the malaria parasite Plasmodium mexicanum"
"Functional Analysis of the Leading Malaria Vaccine Candidate AMA-1 Reveals an Essential Role for the Cytoplasmic Domain in the Invasion Process","G protein signaling in the parasite Entamoeba histolytica"
"Functional analysis of the glutathione S-transferase 3 from Onchocerca volvulus (Ov-GST-3):: A parasite GST confers increased resistance to oxidative stress in Caenorhabditis elegans","Functional partnership between carbonic anhydrase and malic enzyme in promoting gluconeogenesis in Leishmania major"
"Fruit fly parasitoids (Hymenoptera: Braconidae) in south-east Queensland, Australia","Functional Analysis of the Leading Malaria Vaccine Candidate AMA-1 Reveals an Essential Role for the Cytoplasmic Domain in the Invasion Process"
"From So Simple a Beginning: The Evolution of Behavioral Manipulation by Fungi","Functional analysis of the glutathione S-transferase 3 from Onchocerca volvulus (Ov-GST-3):: A parasite GST confers increased resistance to oxidative stress in Caenorhabditis elegans"
"From infection to cancer: how DNA tumour viruses alter host cell central carbon and lipid metabolism","Fruit fly parasitoids (Hymenoptera: Braconidae) in south-east Queensland, Australia"
"From cells to signaling cascades:: manipulation of innate immunity by Toxoplasma gondii","From So Simple a Beginning: The Evolution of Behavioral Manipulation by Fungi"
"From Behavior to Mechanisms: An Integrative Approach to the Manipulation by a Parasitic Fungus (Ophiocordyceps unilateralis s.l.) of Its Host Ants (Camponotus spp.)","From infection to cancer: how DNA tumour viruses alter host cell central carbon and lipid metabolism"
"Friendly competition: evidence for a dilution effect among competitors in a planktonic host-parasite system","From cells to signaling cascades:: manipulation of innate immunity by Toxoplasma gondii"
"Freshwater zooplankton microbiome composition is highly flexible and strongly influenced by the environment","From Behavior to Mechanisms: An Integrative Approach to the Manipulation by a Parasitic Fungus (Ophiocordyceps unilateralis s.l.) of Its Host Ants (Camponotus spp.)"
"FREQUENCY OF AVIAN HAEMOSPORIDIAN PARASITES IN BIRDS FROM MARGARITA AND COCHE ISLANDS, VENEZUELA","Friendly competition: evidence for a dilution effect among competitors in a planktonic host-parasite system"
"Free-living Neoparamoeba perurans depth distribution is mostly uniform in salmon cages, but reshaped by stratification and potentially extreme fish crowding","Freshwater zooplankton microbiome composition is highly flexible and strongly influenced by the environment"
"For better or worse: common determinants influencing health and disease in parasitic infections, asthma and reproductive biology","FREQUENCY OF AVIAN HAEMOSPORIDIAN PARASITES IN BIRDS FROM MARGARITA AND COCHE ISLANDS, VENEZUELA"
"Food supply modifies the trade-off between past and future reproduction in a sexual parasite-host system (Rana esculenta, Rana lessonae)","Free-living Neoparamoeba perurans depth distribution is mostly uniform in salmon cages, but reshaped by stratification and potentially extreme fish crowding"
"Food for contagion: synthesis and future directions for studying host-parasite responses to resource shifts in anthropogenic environments","For better or worse: common determinants influencing health and disease in parasitic infections, asthma and reproductive biology"
"Food availability and competition do not modulate the costs of Plasmodium infection in dominant male canaries","Food supply modifies the trade-off between past and future reproduction in a sexual parasite-host system (Rana esculenta, Rana lessonae)"
"Fluorescent ester dye-based assays for the in vitro measurement of Neospora caninum proliferation","Food for contagion: synthesis and future directions for studying host-parasite responses to resource shifts in anthropogenic environments"
"Fitness consequences of altered feeding behavior in immune-challenged mosquitoes","Food availability and competition do not modulate the costs of Plasmodium infection in dominant male canaries"
"First insights into the autophagy machinery of adult Schistosoma mansoni","Fluorescent ester dye-based assays for the in vitro measurement of Neospora caninum proliferation"
"First efficient CRISPR-Cas9-mediated genome editing in Leishmania parasites","Fitness consequences of altered feeding behavior in immune-challenged mosquitoes"
"Filtration and respiration responses of mussels (Mytilus edulis) to trematode parasite infections (Renicola roscovita) and transient heat exposure","First insights into the autophagy machinery of adult Schistosoma mansoni"
"Filtering out parasites: sand crabs (Lepidopa benedicti) are infected by more parasites than sympatric mole crabs (Emerita benedicti)","First efficient CRISPR-Cas9-mediated genome editing in Leishmania parasites"
"Fight or flight? A geographic mosaic in host reaction and potency of a chemical weapon in the social parasite Harpagoxenus sublaevis","Filtration and respiration responses of mussels (Mytilus edulis) to trematode parasite infections (Renicola roscovita) and transient heat exposure"
"Field evidence for non-host predator avoidance in a manipulated amphipod","Filtering out parasites: sand crabs (Lepidopa benedicti) are infected by more parasites than sympatric mole crabs (Emerita benedicti)"
"Few studies of wild animal performance account for parasite infections: A systematic review","Fight or flight? A geographic mosaic in host reaction and potency of a chemical weapon in the social parasite Harpagoxenus sublaevis"
"Fecundity compensation in the three-spined stickleback Gasterosteus aculeatus infected by the diphyllobothriidean cestode Schistocephalus solidus","Field evidence for non-host predator avoidance in a manipulated amphipod"
"Fatal attraction of non-vector impairs fitness of manipulating plant virus","Few studies of wild animal performance account for parasite infections: A systematic review"
"Fatal attraction in rats infected with Toxoplasma gondii","Fecundity compensation in the three-spined stickleback Gasterosteus aculeatus infected by the diphyllobothriidean cestode Schistocephalus solidus"
"Fast growth of immature brood in a social parasite wasp: A convergent evolution between avian and insect cuckoos","Fatal attraction of non-vector impairs fitness of manipulating plant virus"
"Facultative virulence: A strategy to manipulate host behaviour?","Fatal attraction in rats infected with Toxoplasma gondii"
"Eye fluke-induced cataracts in natural fish populations: is there potential for host manipulation?","Fast growth of immature brood in a social parasite wasp: A convergent evolution between avian and insect cuckoos"
"Eye fluke (Tylodelphys clavata) infection impairs visual ability and hampers foraging success in European perch","Facultative virulence: A strategy to manipulate host behaviour?"
"Extreme offspring ornamentation in American coots is favored by selection within families, not benefits to conspecific brood parasites","Eye fluke-induced cataracts in natural fish populations: is there potential for host manipulation?"
"Extracellular vesicles released by anaerobic protozoan parasites: Current situation","Eye fluke (Tylodelphys clavata) infection impairs visual ability and hampers foraging success in European perch"
"Extended epiphenotypes: Integrating epigenotypes into host behavioural manipulation by parasites","Extreme offspring ornamentation in American coots is favored by selection within families, not benefits to conspecific brood parasites"
"Expulsion of Trichuris muris is associated with increased expression of angiogenin 4 in the gut and increased acidity of mucins within the goblet cell","Extracellular vesicles released by anaerobic protozoan parasites: Current situation"
"Expression of Cpgp40/15 in Toxoplasma gondii:: a surrogate system for the study of Cryptosporidium glycoprotein antigens","Extended epiphenotypes: Integrating epigenotypes into host behavioural manipulation by parasites"
"Expression of trematode-induced zombie-ant behavior is strongly associated with temperature","Expulsion of Trichuris muris is associated with increased expression of angiogenin 4 in the gut and increased acidity of mucins within the goblet cell"
"Expression of hygromycin phosphotransferase alters virulence of Histoplasma capsulatum","Expression of trematode-induced zombie-ant behavior is strongly associated with temperature"
"Expression of cysteine proteinases and cystatins in parasites and use of cysteine proteinase inhibitors in parasitic diseases. Part I: Helminths","Expression of hygromycin phosphotransferase alters virulence of Histoplasma capsulatum"
"Expression and Targeting of Secreted Proteins from Chlamydia trachomatis","Expression of cysteine proteinases and cystatins in parasites and use of cysteine proteinase inhibitors in parasitic diseases. Part I: Helminths"
"Expression and processing of Plasmodium berghei SERA3 during liver stages","Expression of Cpgp40/15 in Toxoplasma gondii:: a surrogate system for the study of Cryptosporidium glycoprotein antigens"
"Exposure of Anopheles mosquitoes to trypanosomes reduces reproductive fitness and enhances susceptibility to Plasmodium","Expression and Targeting of Secreted Proteins from Chlamydia trachomatis"
"Exploiting host compensatory responses: the 'must' of manipulation?","Expression and processing of Plasmodium berghei SERA3 during liver stages"
"EXPLOITATION OF THE SAME TROPHIC LINK FAVORS CONVERGENCE OF LARVAL LIFE-HISTORY STRATEGIES IN COMPLEX LIFE CYCLE HELMINTHS","Exposure of Anopheles mosquitoes to trypanosomes reduces reproductive fitness and enhances susceptibility to Plasmodium"
"Exploitation of manipulators: 'hitch-hiking' as a parasite transmission strategy","Exploiting host compensatory responses: the 'must' of manipulation?"
